ts,symbol,rate
2026-07-23T11:42+00:00,MUU/USDT:USDT,0.0
2026-07-23T11:42+00:00,1000RATS/USDT:USDT,0.00026048
2026-07-23T11:42+00:00,SAHARA/USDT:USDT,5e-05
2026-07-23T11:42+00:00,AAVE/USDT:USDT,4.892e-05
2026-07-23T11:42+00:00,PUNDIX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,GME/USDT:USDT,0.00014776
2026-07-23T11:42+00:00,MTL/USDT:USDT,0.0001
2026-07-23T11:42+00:00,OBOL/USDT:USDT,0.0
2026-07-23T11:42+00:00,MANTA/USDT:USDT,5e-05
2026-07-23T11:42+00:00,AIGENSYN/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BILL/USDT:USDT,2.083e-05
2026-07-23T11:42+00:00,FHE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BOND/USDT:USDT,0.0
2026-07-23T11:42+00:00,CLANKER/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SLP/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ENA/USDC:USDC,-5.294e-05
2026-07-23T11:42+00:00,WLD/USDC:USDC,-2.772e-05
2026-07-23T11:42+00:00,CVX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,G/USDT:USDT,5e-05
2026-07-23T11:42+00:00,RPL/USDT:USDT,-1.439e-05
2026-07-23T11:42+00:00,JUP/USDT:USDT,3.987e-05
2026-07-23T11:42+00:00,LQTY/USDT:USDT,0.0001
2026-07-23T11:42+00:00,AVGO/USDT:USDT,0.00010521
2026-07-23T11:42+00:00,ZHIPU/USDT:USDT,0.0
2026-07-23T11:42+00:00,PTB/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BASED/USDT:USDT,5e-05
2026-07-23T11:42+00:00,MANTRA/USDT:USDT,-6.151e-05
2026-07-23T11:42+00:00,TURTLE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,PARTI/USDT:USDT,5e-05
2026-07-23T11:42+00:00,POL/USDT:USDT,-8.35e-05
2026-07-23T11:42+00:00,NEIRO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,AIN/USDT:USDT,9.004e-05
2026-07-23T11:42+00:00,AGIX/USDT:USDT,0.0
2026-07-23T11:42+00:00,AMAT/USDT:USDT,0.0
2026-07-23T11:42+00:00,PUFFER/USDT:USDT,0.0
2026-07-23T11:42+00:00,OXT/USDT:USDT,0.0
2026-07-23T11:42+00:00,SHELL/USDT:USDT,4.336e-05
2026-07-23T11:42+00:00,MATIC/USDT,0.0001
2026-07-23T11:42+00:00,JTO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ETH/U:U,0.0001
2026-07-23T11:42+00:00,LAB/USDT:USDT,7.428e-05
2026-07-23T11:42+00:00,MET/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ESPORTS/USDT:USDT,7.854e-05
2026-07-23T11:42+00:00,1000000MOG/USDT:USDT,5e-05
2026-07-23T11:42+00:00,TAO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SPCX/USD1:USD1,0.0
2026-07-23T11:42+00:00,1000CHEEMS/USDT:USDT,1.98e-06
2026-07-23T11:42+00:00,CROSS/USDT:USDT,5e-05
2026-07-23T11:42+00:00,MAGIC/USDT:USDT,5e-05
2026-07-23T11:42+00:00,DOLO/USDT:USDT,5e-05
2026-07-23T11:42+00:00,DOT/USDT:USDT,-0.00033276
2026-07-23T11:42+00:00,1000BONK/USDC:USDC,5e-05
2026-07-23T11:42+00:00,MRVL/USDT:USDT,0.0
2026-07-23T11:42+00:00,DOGE/USDT:USDT,1.31e-05
2026-07-23T11:42+00:00,COMP/USDT:USDT,0.0001
2026-07-23T11:42+00:00,FLOW/USDT:USDT,5e-05
2026-07-23T11:42+00:00,HD/USDT:USDT,0.0
2026-07-23T11:42+00:00,LINK/USDT:USDT,4.848e-05
2026-07-23T11:42+00:00,UB/USDT:USDT,5e-05
2026-07-23T11:42+00:00,DOOD/USDT:USDT,5e-05
2026-07-23T11:42+00:00,RVV/USDT:USDT,0.0
2026-07-23T11:42+00:00,IDOL/USDT:USDT,0.00036295
2026-07-23T11:42+00:00,EPT/USDT:USDT,0.0
2026-07-23T11:42+00:00,ACX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SYRUP/USDT:USDT,3.7e-05
2026-07-23T11:42+00:00,AXS/USDT:USDT,-7.81e-06
2026-07-23T11:42+00:00,币安人生/USDT:USDT,5e-05
2026-07-23T11:42+00:00,BAL/USDT:USDT,0.0
2026-07-23T11:42+00:00,SPCX/USDT:USDT,1.877e-05
2026-07-23T11:42+00:00,NEWT/USDT:USDT,-0.00012734
2026-07-23T11:42+00:00,THETA/USDT:USDT,0.0001
2026-07-23T11:42+00:00,CRV/USDC:USDC,0.0001
2026-07-23T11:42+00:00,1MBABYDOGE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SQQQ/USDT:USDT,0.0
2026-07-23T11:42+00:00,STG/USDT:USDT,-6.18e-05
2026-07-23T11:42+00:00,AKT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,PORTAL/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SKATE/USDT:USDT,0.0
2026-07-23T11:42+00:00,ALT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,MYX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SNXX/USDT:USDT,0.0
2026-07-23T11:42+00:00,QNT/USDT:USDT,-0.00040868
2026-07-23T11:42+00:00,META/USDT:USDT,0.0
2026-07-23T11:42+00:00,LRC/USDT:USDT,0.0
2026-07-23T11:42+00:00,SSV/USDT:USDT,2.463e-05
2026-07-23T11:42+00:00,ONE/USDT:USDT,-0.00054431
2026-07-23T11:42+00:00,BSP/USDT:USDT,-3.44e-05
2026-07-23T11:42+00:00,SUI/USDC:USDC,7.097e-05
2026-07-23T11:42+00:00,MBOX/USDT:USDT,0.0
2026-07-23T11:42+00:00,WIF/USDT:USDT,5e-05
2026-07-23T11:42+00:00,LINK/USDC:USDC,4.862e-05
2026-07-23T11:42+00:00,CAKE/USDT:USDT,-8.39e-06
2026-07-23T11:42+00:00,GALA/USDT:USDT,-4.375e-05
2026-07-23T11:42+00:00,TA/USDT:USDT,0.0004429
2026-07-23T11:42+00:00,FARTCOIN/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ETH/USDT:USDT,-2.28e-05
2026-07-23T11:42+00:00,1000CAT/USDT:USDT,-0.00022423
2026-07-23T11:42+00:00,TXN/USDT:USDT,0.0
2026-07-23T11:42+00:00,TRB/USDT:USDT,1.256e-05
2026-07-23T11:42+00:00,1000LUNC/USDT:USDT,0.0001
2026-07-23T11:42+00:00,CSCO/USDT:USDT,0.0
2026-07-23T11:42+00:00,GMT/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ADBE/USDT:USDT,0.0
2026-07-23T11:42+00:00,COOKIE/USDT:USDT,5e-05
2026-07-23T11:42+00:00,SPX/USDT:USDT,5e-05
2026-07-23T11:42+00:00,ALAB/USDT:USDT,-0.00144768
2026-07-23T11:42+00:00,EWJ/USDT:USDT,0.0
2026-07-23T11:42+00:00,0G/USDT:USDT,1.128e-05
2026-07-23T11:42+00:00,WAVES/USDT:USDT,0.0
2026-07-23T11:42+00:00,RESOLV/USDT:USDT,5e-05
2026-07-23T11:42+00:00,INTW/USDT:USDT,0.0
2026-07-23T11:42+00:00,REN/USDT:USDT,0.0
2026-07-23T11:42+00:00,SC/USDT:USDT,0.0
2026-07-23T11:42+00:00,ETH/USDT:USDT-260925,0.0
2026-07-23T11:42+00:00,ZEST/USDT:USDT,5e-05
2026-07-23T11:42+00:00,HUMA/USDT:USDT,5e-05
2026-07-23T11:42+00:00,AERGO/USDT:USDT,0.00542979
2026-07-23T11:42+00:00,CC/USDT:USDT,-4.048e-05
